,x_test,future
1117,"[  5  62  37  96 119  30 113 113 113 113  30 113  30  30  30  30  26  26
  26  26  30  26  30  30  30 100 100 100 100 100 100 100]",[100 100 159 159  40   7  40   7]
1118,"[132 137 132 137 101 132 101  73  32 109 162  73 109  32 162 121  32   8
 162  73  32 109 162  94  39  32 162  20   6  32 162 162]",[162 162  94  32  39  73 109  94]
1119,"[ 39  97 115 109 162 115 108  39  97 115  91  52 125  39  97  52 125  39
  97  47  32  98  39 131 102  98  39  72  56  98  39  26]",[ 32  39 144 102 125  39  72  98]
1120,"[  8  45   6  96   8 167  56   6  16   8 119 162  19 146 171 162  19   8
 119 171   5  19 101 171   5  19 101 171   5  19 101 171]",[ 19 101 146 171 162  19 146 171]
1121,"[ 39 163   1 145  97 163  11 137 163   1 102 163   1  39 163   1  97 163
 106 113 162  83 102 162  83  98 162  83 162 162  11  37]",[ 95 130  98  62  95 106 161  62]
1122,"[ 31  31  31  31 150  99 150  99 150  99  36  99  26  26  26  26  26  26
 143  26 172 117 145 130  45 111  62 167   6 167  62 111]",[ 26 130 145  26 117 172 143  26]
1123,"[ 29   7 130   4 108  41 117  43  41 172  59 112 143  51 153   0 141  43
   7 172 112 143  41  51   0  41 141  59 128 120 151 153]",[ 54  51   7   0 141 128  41 120]
1124,"[107 102  29  11 107  29   4  96 137  29 145  96 102 106  11  96 107  29
 106 113  11 117 140 102 117  11 106  11 117  11  19 117]",[ 13 102 140 117  11 117 140  43]
1125,"[  9 102   9  98   9  19   9  98   9   9 113  98   9   9   8  98   9 102
   9  98   9  19   9  98   9   9 113  98   9   9   8  98]",[102   9  98   9  19   9  98   9]
1126,"[109 108 115 167  56   9   9 167  56  34 109 108 115  34 109 108 115 167
  56   9   9 167  56   9   9 167  56   9   9 167  56   9]",[135   8  45 167 135   8 172 119]
1127,"[ 57  98 172 145  91  32 117 108 125  98 107  80  39  85 168  76  34  80
   6  80 107  39  76  45  80  98  80 107 125  76  76 108]",[ 11  76 172 108 108  91  76 117]
1128,"[ 15  83  15  83  15  83  15 135  15  17  15  17  15  17  15  17  15  17
  15 135  16  74 153 117 153  60 153  60 153  60 153  60]",[ 60 153 117  16  60 153 117  16]
1129,"[145 117  91 143 144  48 123 130 167  11 163 107  39  96   8 163 102  15
 102 171  32  15 125  15   8 172  98 140 111 117 163  11]",[106  98  44  19 129  56  44 102]
1130,"[ 62  91 129 108 115  91  97 108 115   0  97  13 115   0  97  13 115 140
 129  13 115 140  97  13 115 141  97  51 115 141  97  51]",[155 129  51  62 155  97 140  62]
1131,"[  3   3 168 168  31  31  23  23 100 100  23  23  47  47  52  52  55  55
 144 144  55  55 100 100  67  67 131 131 166 166  26  26]",[166 144 144 127 127 100 100  64]
1132,"[ 43 125 140   0 131 172  43 140 172  43 140 172  43 140 172  43 172  43
 135  43 135 108   4 108 135 108 135  43 172  45  29  11]",[ 29 108  11 135   4 108 135  43]
1133,"[  9  98   9   9 113  98 131 125 109 102 109 129 109  19 109 125 109 102
 109 129 109  19 109 131 125 109 102 109 129 109  19 109]",[125 109 102 109 129 109  16  98]
1134,"[155  88 102 124  88  27  27  69  88  27  13  27 135  39 102  91 135  11
  11 163 135  11 107  11 167 117  98 162 140 117  11  11]",[117  11 106  11  96  91  39  62]
1135,"[ 10 117 146 117 146 117  10 172  62  43 117  62 172  43  81  43 115  43
 115 128  81 128 115 128 115  81 115 115  43  81  43 115]",[115  43  20 140 115 172  43 115]
1136,"[  4  94 135 145  79  34 106   4 145  34 106 109 135  43 109  29   4  96
  91  43  29   4 146 135 135  56 106 130 105 108 135  17]",[130  25  43 143  56 108  43 167]
1137,"[108   7   4 112  41  43 117  59  43 172  12 112 143 149  51   0  12  51
  51   7   0  41  51   0   7  51 128  41 141   0 105 155]",[105 141   0 105  38 151 116 128]
1138,"[156 130  51 156 155 130  27 156 128 130 155  79 106  27  79 155 106  51
  79 143 106 140  22 106 140  22 106 140  22 106 112  22]",[151  22  29 151  22  29  38 156]
1139,"[ 76   6  96   8 146 171 146 171 121  50  85 113 121  50 146 171 115 125
  96   8  76  16  48 119 100   5  64   5  23   5 146  64]",[ 45   5 106  45  23 146   5 130]
1140,"[ 71  71  83  83 149 149 154 149  30   2 114  10  63  48 147   8  61   8
 154 149  30   2 114  10  63  48 147   8  61   8  96   8]",[ 98  96   8 111  98  96   8  34]
1141,"[ 29  96 109  29   4  29  96 109  29   4  29  96  56  29 108 130 115  56
 130   4  29  34 171  29   4  45 111 171  45   4 109  29]",[ 29  43  97   4  34   4 117 146]
1142,"[162  20 102 109 162 105  35 167 167 167 167 167  90  36  25 105  36  56
   8 167 105  56 162 167  90  56  39 167  74 129  39  97]",[ 82 162 162 162 162 162  73  20]
1143,"[ 61  61 116 116  61  61 116 116 135   8  27  96  67  67  27  96  61  61
  27  96  67  67  27  96  61  61  27  96  67  67  27  96]",[61 27 96 67 67 27 96 61]
1144,"[ 62  52  98  62  26  97  62  72  98  62  19 115 141 144  98 115 163 115
 124 144  98 115  19 115 131  98 115   3 163 115 144  98]",[129  62 117  72  98  62  97  62]
1145,"[ 85  91   8  22 135 171  22   4 109  41  58 129  48   7  48  56  72 167
 100 161  47  39  72 119 100   8  47  50  52 109  47  84]",[  7  99  58  48  48  56  72 167]
1146,"[  7  40   7  40   7  40 112  50   7  40 112  50   7  40 112   5  68 153
 143   5 149 153 149 153 149 153 149 153 149 153 143   5]",[153 143   5 149 153  51 137  60]
1147,"[ 35  35   9 130  35  35  35  11  90  36  36  36  49  91  47  47  47  43
  84  48 167 167 167 167 167 167 167 167  43 167 167 167]",[140 163 163 163   3 146 146 146]
1148,"[135  27 102  88  27  13  13  27  13  91  13 141  98  78 141  13  13  30
 141  13 140  13  88 161  38  88 155 155  18  88 155 143]",[ 88 102 124  88  27  27  69  88]
1149,"[130  51 135 140 106   4 162 135 140 106   4 109  43 140 106   4  51  43
 140 106   4   0  43 140 106 108 167  43 140 106 108 163]",[140 106 108 167  43 140 106 108]
1150,"[  4  29  96 109  29   4  29  96  56  29 108 130 115  56 130   4  29  34
 171  29   4  45 111 171  45   4 109  29  34  29  43  97]",[ 34   4 117 146   4  45   4 172]
1151,"[ 98  62  98 129  98  62  98 129  98  62  98 108 129  98 145  97  98 108
 129  39 115  39  91 129  39 115  39  11 129  98 162  98]",[129  98 163  98 145 129  98  62]
1152,"[102 111 163   6 163 111 163  16 111  45  11 102  45 111 163 111  45  34
 119 106  11 107 102  29  11  34 106  11 107 137  29   4]",[102  45  11  96 107  29  45 113]
1153,"[  9  14  26  30  26  97 129 109  98 125 171 102 129 108  21 115  55  34
  29 115 108  21 115 111 130 115 108 109   7  75 117  98]",[ 70  43 125   7  75 117 129 111]
1154,"[ 27 125   0 167 106  78  78  38  78  78   8 120 167  45 135 172  96 130
 140 172  91  41 172 140 172 130 172  61 143 143 143  27]",[ 27  27  45 120 120   8 120  96]
1155,"[162 140 106 140  79  43 106 108 162 135 106  91  22   4 106  58  52  48
  47  72  72  58  72  47  99   3   3 100   3 100  82  72]",[58 52 58 48 47 72 72 58]
1156,"[ 48  76 144  23 153  23 153  23 153  23 153  23 153  23 153  23 153  23
 153 116 105 116 105 116 105 116 105 116 105 116 105 116]",[116 105  61  90  61  90  61  90]
1157,"[ 17 106 130  25  43 143  56 108  43 167 106  13 143 108  43  34 140 140
   8 130 145  96 172  43  45 145 167 135 135 146 106   4]",[ 43 172 162   4 135  96 140 140]
1158,"[115   6 140  34  45 172 171   6 111   6 117 146  45 172 102   6 163   6
  43 115 140 106 102 162 163 162  43 115 112  29 171  97]",[ 97  43  34 117 130 171 146 155]
1159,"[111  62  97  62  97  62 111  62  97 113  29  98 115 163 106 115 163 145
  97 111 115  11 162 111 115  29  68  97  62 111  62  97]",[ 97  62 111  62  97  62  97  62]
1160,"[ 53  20  24  96  16   8  45  74  16   6 107  39  45   6 153 115  16 125
  45  80   6  16 107  39  45   6 148 148 148 148  99  99]",[48 99 99 48 48 99 99 48]
1161,"[ 97 144  25  47  46  28 115 125  62 115  96 115 146  97  39 100 129 144
  56  48 100  75  47  16  72 129 144  25  47  46  28 144]",[144 144   7 144  55 144 163  29]
1162,"[135 130 135  43  97 109 135   4 135  43 146 135  29 135  43 167 108 130
 108 143 115  43 130  43 112  34  43   4 107  43  51  34]",[  4  96  43  43 115 108 130 108]
1163,"[135 107 145  79  43 106 140  34 155  62 128 167  27  45  27  62  27  45
 143 162 140 172 106 140 135 146   4 106 128 167  27  45]",[ 62  27  45 143 121 140 172 140]
1164,"[ 97 113  29  21  97 115  34 115  97 115  97 115  34 115  97  96  50   8
  97 146  97   8  97   8  97 146  97   8 111 113  98  97]",[97 98 97 98 97 62 97 98]
1165,"[146 125 146 160 160  25  56  25 109  56 109  40  25 105  40  25  40  25
  40  25  56  25 109  56 109  40  25 109  56  40  25  40]",[ 25  16  40  50 103 119 103  56]
1166,"[ 96 163  39 163  96 163  39 163  96 163  39 163  96 163  39 163  96 163
  39 163  96 163  39  11 107  17  29 107 163 107  29 107]",[107  29 107 163 107  29 107 163]
1167,"[107  29 107  62  29  99  97  62 107  62  97 106  72 162 163  34 163 162
 107 144  39  97 115  97  39  11 131 163 115 107 115 163]",[ 26 115 163 106 115 163 107 115]
1168,"[120 120 120 169 157 169 157 169 157 169 143 103  78 120 140  25 120 128
 103  96 135 172  96 130 140 172  91  41 172 140 172 130]",[103 135 135 135 172   6 172 172]
1169,"[ 58  97  21 163 125 127 113  98  16   6 168   6  16 102  16  60 171 113
  50  16 129  16 129 102   4 171  45 111  45  10 111 146]",[171  45 111  45  10 111 146 108]
1170,"[172 140 165   4  96 135   4  96 135   4  96 135  11 111 108   4  96 135
   4  96 135   4 107 135 108 109  43 135  34  91 112  34]",[108  34  43 135 109  91 112  34]
1171,"[ 43 172  20  43 172 121  43 143  82 140 172 140 143  44  51 155  82  27
 128  53 141  20 128 141  53 128 120  20 128 120 128  78]",[120 128 120  78  53 124  54 159]
1172,"[142  54  34 124 151  92  78  34 128 141  92   0  51  13  34 112 140 129
  13 111 112  51  41  13   0  51 111 141   0  41 128 111]",[151  41  78 124 151  96 125 115]
1173,"[ 70  62 117 111 117  70  97 117 111  98 117  70  32 117 111  19 117  98
  80 115 117 111 117 163  80 115 117 111 117  80 163 117]",[162 117  80  98 117 111 129 117]
1174,"[135  69  91 135  11 135  27 102  88  27  13  13  27  13  91  13 141  98
  78 141  13  13  30 141  13 140  13  88 161  38  88 155]",[ 18  88 155 143 155  88 102 124]
1175,"[  0  13  91  91  13  91 108 108  91 108  11  11 108  11 107  85 156  80
 139 138 138  88 125 151  88   0   0 164  88   0 112 112]",[112  91  91 112  91 108 108  91]
1176,"[145  68  62 111  29 111  62 145  99  62 107  29 107  62 107  62 107  29
 107  62  29  97  62 107  62  97  62  97  62 107  62  97]",[144 163 115 107 115 163 115 163]
1177,"[ 90   9  47 105  25 103  90 103  90  49 105  49  47 103  90   9  47 105
  25 103  90 103  90  49 105  49  47 103  90  49 105  49]",[103  90 103  90  49 105  49  47]
1178,"[134   4 134 134 145 134 155  91 119  13 143  13 117  69  69 135  69 145
  69  69  11  69  36 113  30   2  30  84  71 134  17 161]",[123 149 117 161 150 150 145  69]
1179,"[158  93  61  27  27  61 158  93  61  27  54 165 158  38  63 158  38   8
  63  54  93 158 120  78 165  54  27  78  51  27 140  51]",[140   4 135 106   4  96 106   4]
1180,"[155  20 128  53 120 141 128 120  78  51 159  51  41 172  42 143   0  51
  12 143 117  51  41 159 143 116   0 120 128 105   0 143]",[  7  51  51  41 172 149 143   0]
1181,"[  7   7 146   7   2   7   7  41  98 146  59  59  98  65  65 146  65 148
  59  65 127 171 146 127  59 171 127 127 146 127  59 127]",[146 159   7 109 159 159 146 159]
1182,"[ 99  69  39  84 161 150  39  36 161  99 102  69  99  99 131   8  69 131
 131  47  32  47  47  26 161 150  48 102  69  48 131   3]",[134   3  72  47 161 150  47  72]
1183,"[109  19 162  94  39  19 162  73 109  19 162  53 109  32 165  19 101 132
 137 132 137 132 137 132 137 132 137 132 137 132 137 132]",[132 137 132 137 132 137 132 137]
1184,"[ 88  39 142 150  88  88 150 142 150  88  88 150 142 150  88 158  69  93
  18  88 163  95 158  69  88  91  69  88  27  69  91  91]",[ 84  88  27  69  91  13  69 124]
1185,"[ 60  26 110 110 166  31  57  57  69 131  84  84 100  95  95  69 131  84
  84  84  84 137 119  84 161 102  95 171  95  95  95  95]",[ 37  95 161  56  84 102  84  84]
1186,"[172 127  40  64  78 145  43 140 112  36  36 150  36  85 156 145 130 107
  34 162 146  34  82  96 111  79  79  53  79  20  73 145]",[140 112  36  36 150  36 107 130]
1187,"[123 166 166 166 166 166 166 104  52  14  68 100 166 131 131  57 111 166
 107  45  29   4 166 166 166 166 166 166  28 131  69 100]",[166 166  14  14  17 123  17 123]
1188,"[  4 135 135  74 140 140  43 143 143 135  74 140 140 135  63 172 172 135
  91  91 135  43  43  41  91  91  41  43  43  73  73  91]",[ 73  73  43  43 121 165 135 135]
1189,"[ 50   8  98 111 113  98 162  19 111  98 163 102 111  98 115 111 125  98
  62 111  32  98 163 102 111  98  97 129 111  98   6  34]",[109  39 107 161  39 167  56 107]
1190,"[111 130 115 108 109   7  75 117  98 126  70  43 125   7  75 117 129 111
  70  29 145 111  43  32  34 106 145  34  91 161 107 138]",[145 107 106  32 140  29 112 106]
1191,"[135  96 130 106  45  96 167  96  45 130  59  56 136 171 125  61   8 116
  56  61   8  36  56 136 171 125 118   8 116  56 118   8]",[ 32  53  32 150  39 150  39 159]
1192,"[ 54 110  81  51  10  60 172 159  13 112 172  91 127 172 117 172  51  60
  51 127 141  88 166 120 151 124 142  57 141 120 110 120]",[123  88  13 166  13  51   0  27]
1193,"[167 141  98 162  78 141  13  13 111 141  13 140  13  96  88  39  62  38
  88 155 155 107  88 155 143 155 111  88  96 163 124  88]",[ 27 107  88  27  13  27  96  88]
1194,"[112  40   7  40   7  40   7  40   7  40   7  40 112  50   7  40 112  50
   7  40 112   5  68 153 143   5 149 153 149 153 149 153]",[153 149 153 143   5 149 153 143]
1195,"[ 48  58  99   3  43 116  91 140 143  69  48  58  99   3  58 116  99   3
  47  69  48  58  99   3 116 116 130 130 130 130 130 130]",[130 130 130 130 168  11  11  11]
1196,"[162  94  17   8  85 157  94  85  11 135   8 117  85 135 103 172 147 162
  94 147 162  94 145  11 162  11  94 145  11 162 130 103]",[145  17 162  94  11 145  17 162]
1197,"[116  19 116  16  61  16  61  50  50 119 135  48 135 135 135 135   6 135
 135 167 135   8 162 163  62 163 163 167  71 167  71 162]",[ 39 150  39 150  98 139  98 139]
1198,"[ 97 111 115  11 162 111 115  29  68  97  62 111  62  97  62  97  62 111
  62  97  62  97  62 111  62  97  62  20  97  62  34  62]",[145  99  62 107  29 107  62 107]
1199,"[117 155  71 108 102  91 108  91   0 160  10  10  28  70 108  97  91 108
  91   0 160  10  10  28  70 145 167  91 145  91 155 156]",[163  91 108  91   0 160 117  98]
1200,"[ 45   6 111  98 146 171 167  56 146 171 167  56 146 171 167  56 146 171
 106 162   4 146 106 162  96   8 146 171 162  19 146 171]",[ 19 146 171 162  19 146 171 162]
1201,"[ 39 145  11 130  62  11 145 135  43  91 140 102  27 155  13  17 143 140
  91  43 135  43  32 140  91  43  91 140 143  13 155  91]",[140 143  13 150 155  27 128  88]
1202,"[ 26 141 155 143 172 117  26 145  26 130  45 111  45 130 145 117 172 143
 155 141  92  58  92  58  92  58  92  58  92  58  92  58]",[ 58   0  13 140 108  11  58 106]
1203,"[143  13 143  13 143  13 143  13 143 112 143  13 143 140 147  38 124  38
 124  38 124  38 124 151  38 124  93 158 142 142 158  93]",[ 38  78 147 143  13 143  13 143]
1204,"[163 145  97 111 115  11 162 111 115 108  28 115 107  29 107 115 107 115
 107  29 107 115 117  70  45  29 145  29  45  43  45  29]",[ 29  45  91  75 107  29 108  29]
1205,"[ 27 162 146  96  27 141  39 167 111 141 128 109  97  34 128 128 109 167
  62 128 128 109  97 146 128 128 109 167  62 128 128 109]",[146 109 167  62  43  91 109  97]
1206,"[ 91 143 130  38 172 103 135  38 172 143 130  38  43   9 108  38  43 143
 167  38 130 103 103  38 130 143 167  38 130   9   9  38]",[143  56  38 167 103 103  38 167]
1207,"[ 41  41  41  41 149 149 149 149   7   7  55 144  55 144  55 144  55 144
  55 144  75  58 159  58 159  52 127 100   3   3   3   3]",[  3   3   3   4  41  41   7 159]
1208,"[160  28 156  52  20  99  36  99  36  17 123 149 156  17 123 149 156  17
 123  99  84  17 123  85  99  17 123 149 156  17 123  17]",[157  95 123  84 123  84  99 149]
1209,"[146  13  43  97 112 117 146 172 135 171  91 117  97 172  91 102 112 135
 163  91 172  98 117 108  39   4  11   6  29  45 163 107]",[ 98 111  45 163  11  45  98 111]
1210,"[ 57  28  28  16 125 115 108  28  60  16 125 115 108 107   4  29  57  28
  57  16 125 115 108  57 168  16   6  45 172 168  60  60]",[  6  45 127  60  60  16   6  45]
1211,"[ 45  16 172   6 111 113 117  98 111 113 117  98  45  16 172   6  45  16
 172   6   4 171  51 146   4 171  51 146 117  98 141 111]",[ 98 141 111 172   6 120  45 172]
1212,"[ 57 166  88   5  36 127 120 127  59 127  59 127  59 127  59 127  59 127
  88 127  36 127 141 127 149 127 141 137 166 166 166 166]",[166 166 166 166 166  13 137  84]
1213,"[108  51 155  11   0 155  45   0  51 117   0 141   4 128  88  45 120  88
 111 120 151  34 120  45 151  34 120  45   0  11  13 108]",[ 11  13 108 151 111 120  45 151]
1214,"[106 113 162  98 163 111 162  29   5  97 171 146 111  97  25   9  14  26
  30  26  97 129 109  98 125 171 102 129 108  21 115  55]",[ 29 115 108  21 115 111 130 115]
1215,"[146 171 162  19 146 171 162  19 146 171 162  19 130 167   4 146 130 167
  45   6 111  98 146 171 167  56 146 171 167  56 146 171]",[ 56 146 171 106 162   4 146 106]
1216,"[  3 153  47  40   3 170  58  64  58  34  43 170  47 100  58  72 100  64
  58  58  48  72 170  58  58  72 100  64  58  58  58 170]",[100  58  72 100  64  58  58 100]
1217,"[ 98 109 125  32 125 116  56 116 171 116 125  98  25 109  97  42   6  42
 153  42 100  42 100  42  47  52 149  31   7  40   7  40]",[ 41  41  59   7 153  42 153  42]
1218,"[ 93 124  17  38  78  88 128  27 155  32  78  88 128  27 155  13 143 140
  91  39 143 140  91 150  43 135 145  11 106  29 161 145]",[ 29  39 106 107 111 115  62 115]
1219,"[163  11 117  29  11  91 106  98  11 117  11 106 111 106 111 163   6 113
 163 111  45 102 111 163   6 163 111 163  16 111  45  11]",[ 45 111 163 111  45  34 119 106]
1220,"[130  56  45  16 111 113  45  16 130  56  45  16 130  56  45  16 111 113
  45  16  11 102  45  16  11 102  45  16 111 113  45  16]",[171  45  16   4 171  45  16 111]
1221,"[106  62 141  99 112 143   3 117 117  31  29 130 111 128  31  13  51  47
  43  43   3  11   4  34  78 131 141 128   9 140  78 104]",[128 140  78 141 128 140  13  76]
1222,"[103 130  17 163  96  91  17 111  91  17  96  91 157  98  62  13 157 162
  13 157 167  13  62  17  39 163  91  17 167  91  17 163]",[149  62  91 149  91 149 115  91]
1223,"[124  69 158  99  17 142 158  93 124  38  78  88 141 149  27 155  13 143
 140  91 117 135 145  11 130 106 107 111  96  62 163 163]",[ 96   8 107  39 111  98  96   8]
1224,"[106  43  11 106 108 162 106  34  11 106 111 117  70 111  29 145  29 111
  29 111  29 145  29 111 117 167 125 130 107 108 163  11]",[ 11  39 107 115 107   8  96 163]
1225,"[ 60 153  60 153  60 153 117  16  60 153 117  16  60 153 117  21  83  46
  43  46 133  46 133  46 133  46 133  46 133  46  43  21]",[ 46  43  16 133  46 172 161  57]
1226,"[135 117  91 117 135 135 157  13 143 140 135  11 130 154  91 135 117 145
 130 106 147  96 106  11 163 106 162 117 111 135  96  61]",[147   3  11 135  11   3 135  11]
1227,"[ 94  74  87  85 103  85 103  74   3 165  94  74  87  85 103  85 103  74
   3 165  94  74  87  85 103  85 103 165   3   3 162  90]",[90 90 17 17 94 94 94 94]
1228,"[139 161  39  39 161  39  39 150 161  39  39  84 123  84 123  84 123  84
 123  84 123  84 123 160 123 135  11 107  96 107  11 135]",[ 13 100  72  34 109 107  39  62]
1229,"[135  19 145   4  44 130 106 107  34  96  62 162 109  32  37 106   2  72
 134 134  66   2 134  48 106  26   2  10  72   2  68  73]",[ 72 106 119  44 100  48  44  99]
1230,"[ 48  45  96 158 100  54 120  27  51 172 100 135 100   4  45  54   3 128
  27  51  43   3 135   4   3  34  96  38  47 128   0 143]",[108  47 130  47  34 115  67 137]
1231,"[  4 143 109 146  34 146 112  29 117  45 129  97 143 111  97 112  62  29
 172 125  97 115  97  43  34  45 172 102   6  34   6  43]",[ 45 172 171   6 111   6 117 146]
1232,"[108 130  25 130 108  43 140  25   0 128  25  78  35  78 128   0 140  43
 108 106 140  47   0 128  78 112  52   0 128 151  13   3]",[128 124 155  52 141 120  93  55]
1233,"[ 96  58  32  34  58  73  58  34  72 109 106  72  73 106 100   8 107 100
 121 100 107  51  99  19  96 121  96  58  32  34  58  73]",[ 34  47  16 111 143  38 155 111]
1234,"[  8 130  61   8 135  61 130   8 135  61 145  98  11   2 130 106  98 130
  32 145 130  85 145  45  63 130 106 157  11 135 140  13]",[ 27 162  27 147 141  27 162 141]
1235,"[146 108 115 135  96  43  34  91  39 130 107  43  62 106  34 152  72 152
  72 152  72 152  72 114 145  72  20 106 162 130 167   4]",[145  62 135  96  43  34  36  39]
1236,"[ 43 117 143  60 112  60 172   0  60  51  60 143 112 146 111 172  43 117
 130 108   4 130 153  45 153  29 130 153   4 153 108 117]",[108   4 172   5  43 117 143  60]
1237,"[162  34 115 108  19  11 111  11 162 111 115  19  11 111  11 162 111 115
 108  19  11  34  11 162  34 115 108 129  29  34  29  97]",[ 60   4 129  29 111  29  97 111]
1238,"[172  20  43 172 121  43 143  82 140 172 140 143  44  51 155  82  27 128
  53 141  20 128 141  53 128 120  20 128 120 128  78  53]",[128 120  78  53 124  54 159 159]
1239,"[172 112  43  34   0 157  13   0  34 128 157   0  13  34  51  41 112  51
   4 146 143  59 112 143 172 146 112   7  43 112   4 146]",[ 10 117 146 172  10 117 146 172]
1240,"[  7   7   7   7   7   7   7   7 153 153 153 153   7   7   7   7 153 153
 153 153 153 153 153 153 153 153 153 153  41  41  41  41]",[149 149 149   7   7  55 144  55]
1241,"[ 97  62 111  62  97  62  97  62 111  62  97 113  29  98 115 163 106 115
 163 145  97 111 115  11 162 111 115  29  68  97  62 111]",[ 97  62  97  62 111  62  97  29]
1242,"[ 62  58  32 162 163  58  62  72  32 162 163  72  62 138  32  39  97  62
  32  39  97  99  62  52  32  39  97  52  62  99  32  39]",[ 99  62 144 125  39  97 144 115]
1243,"[115  34 115  97  29  50 113  97  50  62 113  50  45 113  50  62 113  97
  50 130  62 113  50  97 113  62  50 113  29  45  50  62]",[ 21  97 113  29  21  97 115  34]
1244,"[130 172  45 135  96 130 167  45   6 130 167 135  96 172  45 143 130  27
 135 120 172  61  61 158  27  38 143 120 172  27 135 143]",[172  45 135  96 130 167 135  96]
1245,"[116  47  58 116  99   3 116  47 131  69  69  48  58  69  99   3  58 116
  99   3  47  69  48  58  99   3  58 116  99   3  47  69]",[ 58  99   3  43 116  91 140 143]
1246,"[102 112  13  91 112  51 135 137 112 155 135 102 140  13 135  91 112 135
  37  91 140 145  32 117 140  11 135 140  11 161 145 140]",[ 39 145  91 106  52 145 117 107]
1247,"[ 91 129  39 115  39  91 129  39 115  39 140 129  39 112 115  39 117 129
  98  62  98 129  98  62  98 129  98  62  98 108 129  98]",[ 97  98 108 129  39 115  39  91]
1248,"[106  11 117 140 106  11   8 135 140 106  11 125  43 140 106 130 128  43
 140 106 130  43 140 128 106 130 120  43 140  78 106 130]",[135 172  45 130   8 135 172  45]
1249,"[145 156  36  69 131  57 135  26 108 145  69 131  57 135  26 108 145  76
  58  76  58  76  58  76  58 127  26 169 144  10 100 169]",[127  26 107  80  99  85 127 169]
1250,"[141  41   0  51 149   0  59  51   0 149  51 151  12 120 128   7 151  41
 128 151   7 128 151  41 128 151   7  54  41 151  54   7]",[ 54  41 151  54   7 171  54   7]
1251,"[171 159  50 109 109 109 109 109 109 109  73  50 109 109 109  73  50 109
 109 109  73  50 109 109 109  85 161  39  39  39 167 161]",[ 36 119   8  50 109 118 161  39]
1252,"[137 132 137 132 137 132 137 101 132 101  73  32 109 162  73 109  32 162
 121  32   8 162  73  32 109 162  94  39  32 162  20   6]",[162 162 162 162 162  94  32  39]
1253,"[130 145 117 172 117 145 130  45 111  62 120 111  38  45 120 111 141  62
 155 167 143   6 172  98 117  32 172  98 143   6 172  98]",[ 32 145  56 130  16  45 113 111]
1254,"[155  62 155 155 167 143 143 143 146  51  51  50   4 171 162 140 140 143
 140 140  16 172   8 167 155 155  27 155 155  19  51   8]",[  4 106  96 162 145   4  11   9]
1255,"[167   9   9  35  35  35 103  59  59 136  20  59  61  61  61 103  23  23
  23 121  19 121 121  64  56 167 167  56 167 167  56 167]",[ 59 167  12  25 136  61  90 167]
1256,"[ 94  19  39 162  94  19  39 162  73  19 109 121   8 106  72  32 109 162
  36  39 167  20 109 162 145  32 109  62 156  85  62  62]",[ 62  62  79  32 162  39  79  32]
1257,"[ 32 112 148 155  32  20  53 128  32  73  53  78  32  79  53 124  32 151
  78 148 151  88  32  27 148  51  32 112 148 155  32  20]",[  0 102  20 163 128  56  49 167]
1258,"[ 91  94 117  17 102  17   1 171   1 135 106  32 117  91  73 117   2 113
  84   2  71  17 161  17 123  17 161  71  84  36  71  17]",[123  17 102 123 145  11 162  11]
1259,"[165 165 135  74  27 140 165  27 143  61  27 135 162  27  51 165 135 135
 165  27  51 165 135 135  92  27  51 165 135 135 165  27]",[165  78 140  44  62  78 128  53]
1260,"[102  88   0  13  13 139   0  13  91  91  13  91 108 108  91 108  11  11
 108  11 107  85 156   0 102  88   0  13  13 139   0  13]",[ 91  13  91 108 108  91 108  11]
1261,"[ 65 149  65 149  65 149  65 149  65 149  65 149  65 149  65 149  65 149
  65 149  65  20  53  20  53  20  53  20  73  62 162 162]",[ 39  32 162 162  73 109  32 162]
1262,"[ 34 112  29  51   4 128  43 151 112  51   4   0  51 143  65  51 143 112
 159 143 112 172 127 112 172  29  34   4  29   4  97  43]",[  4  45 117   4 117 146 172 117]
1263,"[ 89 125 167 115 167  45 164 125  97 115  97 107 106 163 108 106  43  34
 140 115   0 163 128 162  78 109 125 171 102  32 162  62]",[ 34  32 162  62 162  34  64 171]
1264,"[  7 146 153 111   7  34 109   7  50 109   7 146 153 111   7 115   9  97
  68 146   9 167  56  25 122  56 125 108  56 129  59  16]",[115  75 107  59  45   6  59  16]
1265,"[ 56  56 118  48  48  48  87  87  87  84  84  84  48 103  48 103  48 103
  94  94  94  87  70  87  70  87  70  84  90  84  90  84]",[103  17 103  17 103  17 103  17]
1266,"[ 13 140 140  13 140 117 117 140 117  11  13  11 141  13 140 140 106  13
 140 117 117 111 140 117  11  11 163 117  11 106 106 162]",[106 111 111  98 106 111 163 111]
1267,"[  8 100 129   8 109   8  48 129 171 109 171  72  56  32 109  32 100   8
  39 146  47  39  52 109 146  96 146  52 109 146  96 146]",[109 146  52  96 146  31 109 146]
1268,"[125  31  32 125  32 125  98 109  39   6  97 163   4 146 108 115 117 111
  43  34  91 107 172  45  91 107 172  45   4   7   7 146]",[ 10  51 111  13  45 112  34 172]
1269,"[102 163  96  48 107 131  96 163   3 113 162  62   3 111  72  62 162  47
 161  39 167  47 111  72 167  39 131 102  39 163  96 163]",[ 99  69 131  11  11 130 145  11]
