,x_tr,future
402,"[ 2 27  2 27  2 27 27  2 27  2 27  2  0  0 27  2 27 27  0 27 27 27 27 27
 27 27 27 27 27  0  0 27]",[27  2 27  2 27 27  2 27]
403,"[30 17 30 30 24 24 17  5 24 24  9 30 30 30 30 30  4 30  5 30 30 30 30 24
 24 16 16 16 16 16 16  5]",[17 30 30 24 24 17  5 24]
404,"[27 27 27 27 27 27  0  0 27 27 27 27 27  3 27 27 27 29 27  3  3 29 29  2
  3 26 29  2  1  7 13 22]",[27 27 27 27 27  0  0 27]
405,"[30  9 30 30 17 30 30 24 24 17  5 24 24  9 30 30 30 30 30  4 30  5 30 30
 30 30 24 24 16 16 16 16]",[ 9 30 30 17 30 30 24 24]
406,"[ 4  8  8  4 12  4  9  4  8  4  9  9  9  8  8  8  8 17 17  0  0 25  0 17
  0  8  9  4 25 17  0  8]",[ 8  8  4 12  4  9  4  8]
407,"[ 1  1  7  7 33  7 15  7  6  7  2 13 29  6 20 15  6  3  6  6 10 15 13  6
 10 29  2  1  7 28 29 20]",[ 1  7  7 33  7 15  7  6]
408,"[16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16  5 13 13 24
 15 30 24 15 30 24 13  5]",[16  5 13 13 24 15 30 24]
409,"[29 27 11 19 24  2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22
 11 19 13 26 29 11 19 24]",[27 11 19 24  2 29 11 19]
410,"[ 7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11  9 13 26 13 12 13 26
 13 12 22 26 23 19 26  4]",[26 25 19 26  4 26  4  7]
411,"[25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 23 20 25  3  3  4  5  1 26
 20 25  1 24 28 17 29  8]",[19 26  4 26  4  7 13 26]
412,"[22 19 19  2  2 14  9  9 27 27 22 19 22 19  8  8 27 27 22 22 19 19 17 17
 14 14 14 14 14 14  4  4]",[19 19  2  2 14  9  9 27]
413,"[14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23 12 12  8 27 31 33 22 19
  7 17 17 17 17 17 17 17]",[12 25  8 13  3 15 17 14]
414,"[21 32 21 32 21 31 21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21
 32 21 31 21 32 21 16 32]",[32 21 32 21 31 21 32 32]
415,"[13 26 13 12 22 26 23 19 26  4 31 26 25 33 26 22 26  7 26 25 19 26  4 26
  4  7 13 26 13 23  7 11]",[26 13 12 22 26 23 19 26]
416,"[17 11  3 31 11  3 11  3 17 13  1  3 13  1  3 31 13  1  3 13  1  3 10 11
  3 25 10 11  3 31 10 11]",[11  3 31 11  3 11  3 17]
417,"[23 33 12 33 33 33 33 33 12 33 12 12 12 33 12 12 33 23 33 33 33 33 20  9
 33 12 10  6  5  6  9  6]",[33 12 33 33 33 33 33 12]
418,"[33 27 11 19 10  2 29 33 11 19 10  2 31 11 19 26  3 22 27 11 19 13 26  3
 22 11 19 13 26 29 33 11]",[27 11 19 10  2 29 33 11]
419,"[23  4 20 20 15  3 15  3  1  1  7  7 33  7 15  7  6  7  2 13 29  6 20 15
  6  3  6  6 10 15 13  6]",[ 4 20 20 15  3 15  3  1]
420,"[ 5  1 26 20 25  1 24 28 17 29  8 17  3 11  9 22 26  7 26 25 19 26  4 26
  4  7 13 26 13 23  7 11]",[ 1 26 20 25  1 24 28 17]
421,"[20 20 28  7 20 27 29  1  1 29  1  1 29  1  1 29  1  1 29  1  1 29  1 27
  2  1 29  1 27  2  1 29]",[20 28  7 20 27 29  1  1]
422,"[28  1 20 29 28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29 29 13 29 29
  3 29  1 13 29 20 20  2]",[ 1 20 29 28  1 20 29  2]
423,"[ 7 22 23  4  4 25  8  8  8  8  8  8  8 11 10  2 19 25 25 14 14  2 13  1
 29 15 20  4 23 23 23 14]",[22 23  4  4 25  8  8  8]
424,"[26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0 21 31 21 32
 21 32 16 16 21 31 21 32]",[ 3 22 11 19 15 26 29 33]
425,"[18 15 27 14 18 20 27 14 18 20 27 18 28 27 18 28 27 14 14 14 14 14 14 29
  1 13  2  7 22 23  4  4]",[15 27 14 18 20 27 14 18]
426,"[ 7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 22 26  7 26 25 19 26
  4 26  4  7 13 26 13 23]",[26 25 19 26  4 26  4  7]
427,"[17  6 20 15 12 32 18 12 21 12 12 31 33 22 19 12  7 12 30 26 12 24 11  1
  8 24 11  1 31 24 11  1]",[ 6 20 15 12 32 18 12 21]
428,"[32 31 32 32 21 31 21 32 21 32 21 31 21 32 21 32 21 18 16 16 18 21 18 32
 21 32 21 18 16 16 18 21]",[31 32 32 21 31 21 32 21]
429,"[ 3 33 11 27 10 21 11 27  3 33 11 27 10 21 11 27 29 33 11 27 13 21 11 31
 29 22 11 31 13 21 11 31]",[33 11 27 10 21 11 27  3]
430,"[11 31 22 11 31 23 27  6  6  6  6 15  6  3  9 33  9  9  9 33  9  9  9 23
 33 12 33 33 33 33 33 12]",[31 22 11 31 23 27  6  6]
431,"[29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26
  2  7 29 22  2 29  1  1]",[28  1 20 29 28  1 20 29]
432,"[29 23  4  4  8  8  0  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14 14 14
  2 13  1 29 15 20 14 12]",[23  4  4  8  8  0  8  8]
433,"[ 2 20  1 20  1 15 13 29  1 13  2 13  1 29 27 31 33 22  0 27 22 27 31 33
 22  0 27 22 16 19 16 19]",[20  1 20  1 15 13 29  1]
434,"[14 12 25  8  2 13  1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14
 25  8  4 17 17 23 12 12]",[12 25  8  2 13  1 29 15]
435,"[23  4  4  8  8  0  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14 14 14  2
 13  1 29 15 20 14 12 26]",[4 4 8 8 0 8 8 8]
436,"[ 6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28
  1 20 29  2 29 26  2  7]",[10 33 28  1 20 29 28  1]
437,"[30 24 24 16 16 16 16 16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16
 16 16 16  5 13 13 24 15]",[24 24 16 16 16 16 16 16]
438,"[ 3 26 29  2  1  7 13 22 29  2 20  1 20  1 15 13 29  1 13  2 13  1 29 27
 31 33 22  0 27 22 27 31]",[26 29  2  1  7 13 22 29]
439,"[14 14 25  8  4 17 17 23  4 25 25 12 12 12 12 28 20 12 15  6 12  3 12  1
  4 11 23  1 11  1 11  1]",[14 25  8  4 17 17 23  4]
440,"[26  3  4  5  1 26  3  5  1 26  3  5  1 26  1 24 25  1 24  1 24  1 24 29
 17  3 11 20  9  6  1 12]",[ 3  4  5  1 26  3  5  1]
441,"[ 5 11 13 24 30 26 24 13 24 26 24 13 24 26 13 24 26 13 24 26 13 24 26 13
 24 12  4 12  4  3 24 15]",[11 13 24 30 26 24 13 24]
442,"[31 22 11 31  7  2 24 29 20 29  1 24  1 24  2 28  7 20 20 28  7 20 27 29
  1  1 29  1  1 29  1  1]",[22 11 31  7  2 24 29 20]
443,"[32 21 32 21 18 16 16 18 21 18 32 21 32  0 21 18 16 16 18 21 18 21 19 21
 19 19 19 19 19 19 19 19]",[21 32 21 18 16 16 18 21]
444,"[11  4  1  2  4  1 23  1  1 24 10 13 10  1 23 29 12 23  2  4 12  8  7 23
  8 10 33 24 10 13 10 26]",[ 4  1  2  4  1 23  1  1]
445,"[ 5 16 16 16 16 16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16
 16 16 25 16 25 27 31 27]",[16 16 16 16 16 16  5 13]
446,"[ 6 31  1 10 18  1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10
 21 11 27  3 33 11 27 10]",[31  1 10 18  1  6 31  1]
447,"[29 20  1 33  6 10  5 28  1 20 29 33  6 10  5 28  1 20 29 33  6 10 33 28
  1 20 29 28  1 20 29 28]",[20  1 33  6 10  5 28  1]
448,"[28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26  2
  7 29 22  2 29  1  1 29]",[ 1 20 29 28  1 20 29 28]
449,"[ 1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26  2  7
 29 22  2 29  1  1 29 29]",[20 29 28  1 20 29 28  1]
450,"[27 18 29 27 18 29 27 18 15 27 18 15 27 14 18 20 27 14 18 20 27 18 28 27
 18 28 27 14 14 14 14 14]",[18 29 27 18 29 27 18 15]
451,"[ 2 29 33 11 19 10  2 16 16  0  0  0  0  0  0 16 16 16 16 29 33 27 11 19
  6  2 29 33 11 19  6  2]",[29 33 11 19 10  2 16 16]
452,"[ 9 30 30 17 30 30 24 24 17  5 24 24  9 30 30 30 30 30  4 30  5 30 30 30
 30 24 24 16 16 16 16 16]",[30 30 17 30 30 24 24 17]
453,"[20 24 28 30 24 11 24 30 24 24 30 24 15 11 24 30 24 20 24 28 30 24 11 24
 30 24 24 30 24 15 11 24]",[24 28 30 24 11 24 30 24]
454,"[29 21 11 27  2 21 11 29 21 11 27  2 21 10 18  1  6 31  1 10 18  1  6 31
  1 10 18  1  6 31  1 26]",[21 11 27  2 21 11 29 21]
455,"[24 30 24 24  9  2 24  8  5 24  2 24 27 10 17  2 10 25 10 23  2 10  8 22
  2 17  2 13  2  2  2  2]",[30 24 24  9  2 24  8  5]
456,"[ 8  4 25 17  0 28  4 25 17 25  0 17  8  4 25 17  0  0 29 29 29 29 29 29
 29 29 29 29 29 17 12  9]",[ 4 25 17  0 28  4 25 17]
457,"[30 11  9 13 26 13 12 13 26 13 12 22 26 23 19 26  4 31 26 25 33 26 22 26
  7 26 25 19 26  4 26  4]",[11  9 13 26 13 12 13 26]
458,"[ 2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26
 29 33 11 19  6  2 11  0]",[29 33 11 19  6  2 31 11]
459,"[21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21 32
 21 31 21 32 21 32 21 18]",[32 21 31 21 32 21 32 21]
460,"[ 1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22 16 19 16 19  2  2  0  0
 14 29  2  3 26 29  2  1]",[29 27 31 33 22  0 27 22]
461,"[19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0 21 31
 21 32 21 32 16 16 21 31]",[15 26  3 22 11 19 15 26]
462,"[26 29 11 19 24  2 29 11 19 24  2 16 16 16 16 16 16 29 33 27 11 19  6  2
 29 33 11 19  6  2 31 11]",[29 11 19 24  2 29 11 19]
463,"[29 20  1  6 10 15 13  6 10 29  2  1  7 28 29 20  1 33  6 10  5 28  1 20
 29 33  6 10  5 28  1 20]",[20  1  6 10 15 13  6 10]
464,"[ 6  6  6  6 15  6  3  9 33  9  9  9 33  9  9  9 23 33 12 33 33 33 33 33
 12 33 12 12 12 33 12 12]",[ 6  6  6 15  6  3  9 33]
465,"[29 33 11 19  6  2 11  0  8  0  0  0  0 29 33 27 11 19 10  2 29 33 11 19
 10  2 31 11 19 26  3 22]",[33 11 19  6  2 11  0  8]
466,"[16 19  2  2  0  0 14 20 20 15  3 15  3  1  1  7  7 33  7 15  7  6  7  2
 13 29  6 20 15  6  3  6]",[19  2  2  0  0 14 20 20]
467,"[27  2 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31  1 26 18  1  3
 31  1 10 21 11 27  3 33]",[ 2 10 18  1  6 31  1 10]
468,"[17 11 24 30 24 24 25 30 24  4 11 24 30 24 24  9  2 24  8  5 24  2 24 27
 10 17  2 10 25 10 23  2]",[11 24 30 24 24 25 30 24]
469,"[ 0  8  0  0  0  0 27  2 27  0  2 27  2 27  2 27 27  2 27  2 27  2  0  0
 27  2 27 27  0 27 27 27]",[ 8  0  0  0  0 27  2 27]
470,"[19  6  2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19
 15 26 29 33 11 19  6  2]",[ 6  2 29 33 11 19  6  2]
471,"[30 24 15 30 24 13  5 16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33
 22 19 19  2  2 14  9  9]",[24 15 30 24 13  5 16 16]
472,"[ 3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0
  0  0  0 29 33 27 11 19]",[ 3 22 27 11 19 15 26  3]
473,"[ 2 24 12 24  4  2 24  5 24  2 24 24  4  2 24 25  5 24  2 24 24  8 30 24
 17 11 24 30 24 24 25 30]",[24 12 24  4  2 24  5 24]
474,"[ 8  2 10 11 29  6 25 25 14 14  2 13  1 29 15 20  4 23 23 23 14 12 25  8
  2 13  1 29 15 20  4 23]",[ 2 10 11 29  6 25 25 14]
475,"[19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19
  6  2 11  0  8  0  0  0]",[ 6  2 31 11 19  3  3 22]
476,"[26  1 24 25  1 24  1 24  1 24 29 17  3 11 20  9  6  1 12  6 15 23 20  4
 20  3 17  6 20 15 12 32]",[ 1 24 25  1 24  1 24  1]
477,"[ 1  7 28 29 20  1 33  6 10  5 28  1 20 29 33  6 10  5 28  1 20 29 33  6
 10 33 28  1 20 29 28  1]",[ 7 28 29 20  1 33  6 10]
478,"[17 29  8 17  3 11  9 22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11
 30 11 22 26  7 26 25 19]",[29  8 17  3 11  9 22 26]
479,"[24 11 24 30 24 24 30 24 15 11 24 30 24 20 24 28 30 24 11 24 30 24 24 30
 24 15 11 24 30 24 12 24]",[11 24 30 24 24 30 24 15]
480,"[13  1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22 16 19 16 19  2  2  0
  0 14 29  2  3 26 29  2]",[ 1 29 27 31 33 22  0 27]
481,"[24  4  2 24 25  5 24  2 24 12 24  4  2 24  5 24  2 24 24  4  2 24 25  5
 24  2 24 24  8 30 24 17]",[ 4  2 24 25  5 24  2 24]
482,"[14 14 14 29  1 13  2  7 22 23  4  4 25  8  8  8  8  8  8  8 11 10  2 19
 25 25 14 14  2 13  1 29]",[14 14 29  1 13  2  7 22]
483,"[27 22 19 22 19  8  8 27 27 22 22 19 19 17 17 14 14 14 14 14 14  4  4  4
 14  9  9  9  8  8 28  8]",[22 19 22 19  8  8 27 27]
484,"[20 28 21 19 30 25 14  4  0  8 11 29  6 28 21 19 30 25 14  4  0  8 29  6
 28  7  2 24 29 20 29  1]",[28 21 19 30 25 14  4  0]
485,"[ 8 27  8 31 33  8 19  7  8  2 26  8 10  8 11  3 17 11  3 31 11  3 11  3
 17 13  1  3 13  1  3 31]",[27  8 31 33  8 19  7  8]
486,"[13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16  5 13 13 24 15 30 24 15
 30 24 13  5 16 16 16 16]",[24 15 30 24 15 30 24 13]
487,"[21 11 27  2 21 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31  1 26
 18  1  3 31  1 10 21 11]",[11 27  2 21 10 18  1  6]
488,"[ 5 23 12  9  3 21 18  2 27 18  2 27 18  2 27 18  2 27 18  2 27 18  2 27
 18  2 27 18  2 27 18 13]",[23 12  9  3 21 18  2 27]
489,"[ 5  3  5 15  5 29  5  5  5  5 28  5 11  5 29  5 30  5 13  5  4  5 13  5
 22 13  2 13  8  1 13  2]",[ 3  5 15  5 29  5  5  5]
490,"[16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33 22 19 19  2  2 14  9
  9 27 27 22 19 22 19  8]",[16 16 16 16 16 16 25 16]
491,"[ 0 17  8  4 25 17 25  0 17  8  4 25 17  0 28  4 25 17 25  0 17  8  4 25
 17  0  0 29 29 29 29 29]",[17  8  4 25 17 25  0 17]
492,"[ 0 15 25 16 25  8  8 17  0 17  0 23  4 29 33 27 11 19 10  2 29 33 11 19
 10  2 31 11 19 26  3 22]",[15 25 16 25  8  8 17  0]
493,"[32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21 32 21
 31 21 32 21 32 21 18 16]",[21 31 21 32 21 32 21 31]
494,"[21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21 31 21 32 21
 16 32 31 32 32 21 31 21]",[32 32 31 32 32 31 32 32]
495,"[24  2 24 20 24 28 30 24 11 24 30 24 24 30 24 15 11 24 30 24 20 24 28 30
 24 11 24 30 24 24 30 24]",[ 2 24 20 24 28 30 24 11]
496,"[14 29  2  3 26 29  2  1  7 13 22 29  2 20  1 20  1 15 13 29  1 13  2 13
  1 29 27 31 33 22  0 27]",[29  2  3 26 29  2  1  7]
497,"[ 8  8  8  8  8  9 17 17 17  9  9  4 25 17 28 28 17 17 17 17 17  8 25  8
  8  4 25 28 28 17  4 17]",[ 8  8  8  8  9 17 17 17]
498,"[33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33
 11 19  6  2 11  0  8  0]",[11 19  6  2 31 11 19  3]
499,"[ 3 29  1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15 29 15 13 20 28
 27 31 33 22  0 27 22 29]",[29  1 13 29 20 20  2 26]
500,"[28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29 29 13 29 29  3 29  1 13
 29 20 20  2 26  2  7 22]",[ 1 20 29  2 29 26  2  7]
501,"[30  5 13  5  5 13  5 30  5 15 13  5 29  5  5 30  5 13  5  5 13  5 30  5
 15 13  5 29  5  5  3  5]",[ 5 13  5  5 13  5 30  5]
502,"[ 8  0  0  0  0 29 33 27 11 19 10  2 29 33 11 19 10  2 31 11 19 26  3 22
 27 11 19 13 26  3 22 11]",[ 0  0  0  0 29 33 27 11]
503,"[ 0 27 22 16 19 16 19  2  2  0  0 14 20 20 15  3 15  3  1  1  7  7 33  7
 15  7  6  7  2 13 29  6]",[27 22 16 19 16 19  2  2]
504,"[29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20
 29 28  1 20 29  2 29 26]",[33  6 10 33 28  1 20 29]
505,"[20 20 28  7 20 27 29  1  1 29  1  1 29  1  1 29  1  1 29  1 11 29 21 11
 27  2 21 11 29 21 11 27]",[20 28  7 20 27 29  1  1]
506,"[21 16 32 31 32 32 21 31 21 32 21 32 21 31 21 32 21 32 21 18 16 16 18 21
 18 32 21 32 21 18 16 16]",[16 32 31 32 32 21 31 21]
507,"[21 18 16 16 18 21 18 32 21 32  0 21 18 16 16 18 21 18 21 19 21 19 19 19
 19 19 19 19 19 19 19 19]",[18 16 16 18 21 18 32 21]
508,"[24  9  2 24  8  5 24  2 24 27 10 17  2 10 25 10 23  2 10  8 22  2 17  2
 13  2  2  2  2  2  8  2]",[ 9  2 24  8  5 24  2 24]
509,"[27 11 19 10  2 29 33 11 19 10  2 31 11 19 26  3 22 27 11 19 13 26  3 22
 11 19 13 26 29 33 11 19]",[11 19 10  2 29 33 11 19]
510,"[32 32 21 31 21 32 21 32 21 31 21 32 21 32 21 18 16 16 18 21 18 32 21 32
 21 18 16 16 18 21 18 32]",[32 21 31 21 32 21 32 21]
511,"[ 3 31 13  1  3 13  1  3 10 11  3 25 10 11  3 31 10 11  3 10 11  3 25 26
 13 23  3  4 26 13  3 12]",[31 13  1  3 13  1  3 10]
512,"[ 7 11 30 11  9 13 26 13 12 13 26 13 12 22 26 23 19 26  4 31 26 25 33 26
 22 26  7 26 25 19 26  4]",[11 30 11  9 13 26 13 12]
513,"[11 29 21 11 27  2 21 11 29 21 11 27  2 21 10 18  1  6 31  1 10 18  1  6
 31  1 10 18  1  6 31  1]",[29 21 11 27  2 21 11 29]
514,"[24 13  5 16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33 22 19 19  2
  2 14  9  9 27 27 22 19]",[13  5 16 16 16 16 16 16]
515,"[24 13 24 26 24 13 24 26 13 24 26 13 24 26 13 24 26 13 24 12  4 12  4  3
 24 15  2 24  5 24  2 24]",[13 24 26 24 13 24 26 13]
516,"[ 6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28
  1 20 29 28  1 20 29 28]",[10  5 28  1 20 29 33  6]
517,"[27 27  0 27 27 27 27 27 27 27 27 27 27  0  0 27 27 27 27 27  3 27 27 27
 29 27  3  3 29 29  2  3]",[27  0 27 27 27 27 27 27]
518,"[ 2  7 29 22  2 29  1  1 29 29 13 29 29  3 29  1 13 29 20 20  2 26  2  7
 22 15  2  1 28  1 20 15]",[ 7 29 22  2 29  1  1 29]
519,"[ 4 30 22  4 24 22  9 30 22  8  9 24 30  5 13  5  5 13  5 30  5 15 13  5
 29  5  5 30  5 13  5  5]",[30 22  4 24 22  9 30 22]
520,"[11 19 13 26  3 22 11 19 13 26 29 33 11 19 10  2 29 33 11 19 10  2 16 16
  0  0  0  0  0  0 16 16]",[19 13 26  3 22 11 19 13]
521,"[29 20  1  6 10 15 13  6 10 29  2  1  7 28 29 20  1 33  6 10  5 28  1 20
 29 33  6 10  5 28  1 20]",[20  1  6 10 15 13  6 10]
522,"[20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1
 20 29 28  1 20 29  2 29]",[29 33  6 10 33 28  1 20]
523,"[13  8  1 13  2 13  4 13 30 13  9 13 30 13 30 30 13 30  4 30  9 30 30 17
 30 30 24 24 17  5 24 24]",[ 8  1 13  2 13  4 13 30]
524,"[24  2 24 12 24  4  2 24  5 24  2 24 24  4  2 24 25  5 24  2 24 24  8 30
 24 17 11 24 30 24 24 25]",[ 2 24 12 24  4  2 24  5]
525,"[21 32 21 31 21 32 21 32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21
 18 32 21 32  0 21 18 16]",[32 21 31 21 32 21 32 21]
526,"[26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0 27  2 27  0
  2 27  2 27  2 27 27  2]",[ 3 22 11 19 15 26 29 33]
527,"[11  3 25 10 11  3 31 10 11  3 10 11  3 25 26 13 23  3  4 26 13  3 12 22
 26 23 19 26  4 31 26 25]",[ 3 25 10 11  3 31 10 11]
528,"[15 20  4 23 23 23 14 12 25  8  2 13  1 29 15 20  4 23 23 23 14 12 25  8
 13  3 15 17 14 14 25  8]",[20  4 23 23 23 14 12 25]
529,"[32 18 12 21 12 12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11  1 31
 24 11  1 24 11  1  8 21]",[18 12 21 12 12 31 33 22]
530,"[11 31 29 22 11 31 13 21 11 31 22 11 31 13 21 11 31  1 22 11 31 13 21 11
 31 22 11 31 23 27  6  6]",[31 29 22 11 31 13 21 11]
531,"[ 1 29  1  1 29  1  1 29  1  1 29  1 27  2  1 29  1 27  2  1 29  1 27  2
  1 29  1 27  2 10 18  1]",[29  1  1 29  1  1 29  1]
532,"[27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0
 29 33 27 11 19 10  2 29]",[11 19 15 26  3 22 11 19]
533,"[19 26  4 31 26 25 33 26 22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7
 11 30 11  9 13 26 13 12]",[26  4 31 26 25 33 26 22]
534,"[19  8  8 27 27 22 22 19 19 17 17 14 14 14 14 14 14  4  4  4 14  9  9  9
  8  8 28  8  8  8  8  8]",[ 8  8 27 27 22 22 19 19]
535,"[10  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 33 11 19 10
  2 29 33 11 19 10  2 16]",[ 2 31 11 19 26  3 22 27]
536,"[ 8  9  4 25 17 25  0 17  8  4 25 17 25  0 17  8  4 25 17  0 28  4 25 17
 25  0 17  8  4 25 17  0]",[ 9  4 25 17 25  0 17  8]
537,"[26  4  7 13 26 13 23  7 11 30 11 23 20 25  3  3  4  5  1 26 20 25  1 24
 28 17 29  8 17  3 11 12]",[ 4  7 13 26 13 23  7 11]
538,"[ 6  2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15
 26 29 33 11 19  6  2 11]",[ 2 29 33 11 19  6  2 31]
539,"[30 24  4 11 24 30 24 24  8 30 24 17 11 24 30 24 24 25 30 24  4 11 24 30
 24 24  9  2 24  8  5 24]",[24  4 11 24 30 24 24  8]
540,"[ 8  8  8  8 11 10  2 19 25 25 14 14  2 13  1 29 15 20  4 23 23 23 14 12
 25  8  2 13  1 29 15 20]",[ 8  8  8 11 10  2 19 25]
541,"[13 26 13 23  7 11 30 11  9 13 26 13 12 13 26 13 12 22 26 23 19 26  4 31
 26 25 33 26 22 26  7 26]",[26 13 23  7 11 30 11  9]
542,"[ 9  7 10  9  9  9  7 10  9  9  9 23 10 12 10 10 24 10 10 10 10 12 10 12
 12 12 10 12 12  2  4 10]",[ 7 10  9  9  9  7 10  9]
543,"[ 7 22 15  2  1 28  1 20 15 29 15 13 20 28 27 31 33 22  0 27 22 29  3  6
 15 29  0 15 25 16 25  8]",[22 15  2  1 28  1 20 15]
544,"[21 18  2 27 18  2 27 18  2 27 18  2 27 18  2 27 18  2 27 18  2 27 18  2
 27 18 13 27 18 13 27 18]",[18  2 27 18  2 27 18  2]
545,"[13  2 13  1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22 16 19 16 19  2
  2  0  0 14 20 20 15  3]",[ 2 13  1 29 27 31 33 22]
546,"[18  2 27 18  2 27 18  2 27 18  2 27 18  2 27 18 13 27 18 13 27 18 13 27
 18 13 27 14 18  1 27 14]",[ 2 27 18  2 27 18  2 27]
547,"[11 27 29 33 11 27 13 21 11 31 29 22 11 31 13 21 11 31 22 11 31  7  2 24
 29 20 29  1 24  1 24  2]",[27 29 33 11 27 13 21 11]
548,"[16 16 16 16 29 33 27 11 19  6  2 29 33 11 19  6  2 31 11 19  3  3 22 27
 11 19 15 26  3 22 11 19]",[16 16 16 29 33 27 11 19]
549,"[ 1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10 21 11 27  3 33
 11 27 10 21 11 27  3 33]",[ 6 31  1 26 18  1  3 31]
550,"[ 6 28 21 19 30 25 14  4  0  8 29  6 28  7  2 24 29 20 29  1 24  1 24  2
 28  7 20 20 28  7 20 27]",[28 21 19 30 25 14  4  0]
551,"[15 29  0 15 25 16 25  8  8 17  0 17  0 23  4 29 33 27 11 19 10  2 29 33
 11 19 10  2 31 11 19 26]",[29  0 15 25 16 25  8  8]
552,"[ 6  5  6  9  6 20  6 23 12  9  7 10  9  9  9  7 10  9  9  9 23 10 12 10
 10 24 10 10 10 10 12 10]",[ 5  6  9  6 20  6 23 12]
553,"[11 19 24  2 29 11 19 24  2 16 16 16 16 16 16 29 33 27 11 19  6  2 29 33
 11 19  6  2 31 11 19  3]",[19 24  2 29 11 19 24  2]
554,"[30 24 20 24 28 30 24 11 24 30 24 24 30 24 15 11 24 30 24 12 24  4  2 24
  5 24  2 24 24  4  2 24]",[24 20 24 28 30 24 11 24]
555,"[24  5 24  2 24 24 15  2 24  5 24  2 24 20 24 28 30 24 11 24 30 24 24 30
 24 15 11 24 30 24 20 24]",[ 5 24  2 24 24 15  2 24]
556,"[27  2  1 29  1 27  2 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31
  1 26 18  1  3 31  1 10]",[ 2  1 29  1 27  2 10 18]
557,"[13  1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17
 23  4 25 25 12 12 12 12]",[ 1 29 15 20  4 23 23 23]
